Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,pexels-photo-1028225.png,31.03818854977938,0.8036570922925289,0.9919857001504075
1024x1024,Gaussian,pexels-photo-1029021.png,30.848532730920866,0.8144678474054855,0.9883781359435708
1024x1024,Gaussian,pexels-photo-1031200.png,30.39407546,0.8206283434182444,0.976732757
1024x1024,Gaussian,pexels-photo-103123.png,31.423807784622074,0.7033515016671595,0.9894283685504944
1024x1024,Gaussian,pexels-photo-1032650.png,31.32437198978481,0.6811374646086065,0.9884064343145313
1024x1024,Gaussian,pexels-photo-1033729.png,31.140261876605383,0.7525319600801234,0.9895030783668647
1024x1024,Gaussian,pexels-photo-1034887.png,31.31617958330058,0.7018779050777801,0.9939363019684108
1024x1024,Gaussian,pexels-photo-1038935.png,31.11535834,0.7419547165065166,0.9912606925403502
1024x1024,Gaussian,pexels-photo-1043458.png,30.246119605082114,0.901677063,0.9796832960294924
1024x1024,Gaussian,pexels-photo-1048039.png,31.20195913702883,0.6877887332607083,0.9886254251476709
1024x1024,Gaussian,pexels-photo-1047051.png,31.503996356983293,0.62516888,0.9883476269381889
1024x1024,Gaussian,pexels-photo-1048273.png,31.648550103716204,0.7009051275796112,0.9938809055100584
1024x1024,Gaussian,pexels-photo-104351.png,31.294823050734134,0.7194285365227805,0.9866981539488117
1024x1024,Gaussian,pexels-photo-1048283.png,31.60786963221607,0.7220266211159425,0.9901838594461345
1024x1024,Gaussian,pexels-photo-1049298.png,31.489557062357743,0.6700989274063529,0.9879763580891681
1024x1024,Gaussian,pexels-photo-1051449.png,31.659909426051108,0.5925075600823231,0.9947581279834959
1024x1024,Gaussian,pexels-photo-105221.png,31.13060184796427,0.7248116257172262,0.9815449395797107
1024x1024,Gaussian,pexels-photo-105234.png,31.37240162905762,0.642203793,0.9815037335012153
1024x1024,Gaussian,pexels-photo-1054218.png,31.506357497772655,0.562128816,0.9864211818879622
1024x1024,Gaussian,pexels-photo-1054655.png,31.53546124205636,0.6851210044080502,0.9891977173996107
