Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,pexels-photo-1038935.png,27.58928025,0.430319248,-0.111448517
1024x1024,Gaussian,pexels-photo-1031200.png,27.42713648,0.394805722,-0.10560083
1024x1024,Gaussian,pexels-photo-1033729.png,27.69800611,0.410271394,-0.211574788
1024x1024,Gaussian,pexels-photo-1034887.png,27.3031385,0.425696934,0.048399801
1024x1024,Gaussian,pexels-photo-104351.png,27.25836539,0.458395153,0.065246431
1024x1024,Gaussian,pexels-photo-1043458.png,27.32206876,0.419999071,0.109750397
1024x1024,Gaussian,pexels-photo-1032650.png,27.44854542,0.450556438,0.057165045
1024x1024,Gaussian,pexels-photo-1047051.png,28.72125136,0.35464742,0.027264742
1024x1024,Gaussian,pexels-photo-1048283.png,28.40703346,0.347315522,-0.256022925
1024x1024,Gaussian,pexels-photo-1048039.png,27.49625041,0.392017967,-0.041705249
1024x1024,Gaussian,pexels-photo-105221.png,27.56916449,0.380639661,0.072824738
1024x1024,Gaussian,pexels-photo-105234.png,27.22032535,0.402994995,-0.01751444
1024x1024,Gaussian,pexels-photo-1051449.png,27.58618599,0.446356326,0.051805138
1024x1024,Gaussian,pexels-photo-1048273.png,27.39825443,0.410963447,0.061904033
1024x1024,Gaussian,pexels-photo-1049298.png,27.46527804,0.456602852,-0.223239739
1024x1024,Gaussian,pexels-photo-1054218.png,27.708351,0.523408049,0.020388844
1024x1024,Gaussian,pexels-photo-1054655.png,27.35659906,0.585447264,0.043759789
1024x1024,Gaussian,pexels-photo-1055068.png,27.67313687,0.520638175,-0.00756923
1024x1024,Gaussian,pexels-photo-1056497.png,27.46936734,0.44672511,-0.123556419
1024x1024,Gaussian,pexels-photo-1062175.png,27.38425769,0.421064405,0.090212149
1024x1024,Gaussian,pexels-photo-1078981.png,29.05166033,0.315170725,0.054026205
1024x1024,Gaussian,pexels-photo-106606.png,27.43103208,0.416635195,-0.067760153
1024x1024,Gaussian,pexels-photo-1058401.png,27.67204336,0.376852225,0.04794953
1024x1024,Gaussian,pexels-photo-106399.png,27.44878801,0.447265637,-0.105949696
1024x1024,Gaussian,pexels-photo-1061623.png,28.92116477,0.330022024,0.123829591
1024x1024,Gaussian,pexels-photo-1064535.png,27.55923497,0.399094797,-0.030305731
1024x1024,Gaussian,pexels-photo-1061640.png,27.57035143,0.445992508,-0.030118673
1024x1024,Gaussian,pexels-photo-1064162.png,29.84433292,0.341591636,0.112748906
